step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
94,523200,3008,0.016965689453547636,0.71875,0.71875,,,,,
95,529120,3040,0.01607581698366749,0.75,0.75,,,,,
96,534016,3072,0.01940418985131277,0.71875,0.71875,,,,,
97,539424,3104,0.01658824290657766,0.6875,0.6875,0.014320679435595481,0.6875,0.6875,,
98,546112,3136,0.010984627712253307,0.84375,0.84375,,,,,
99,550752,3168,0.017732676883286873,0.78125,0.78125,,,,,
100,556160,3200,0.016974164922095525,0.65625,0.65625,,,,,
101,561824,3232,0.015122198148455302,0.71875,0.71875,,,,,
102,566720,3264,0.01584957922973911,0.75,0.75,,,,,
103,573152,3296,0.015939941505756873,0.75,0.75,,,,,
104,578304,3328,0.018021556115253422,0.71875,0.71875,,,,,
105,585504,3360,0.011823198921816025,0.78125,0.78125,0.01834490079501859,0.6875,0.6875,,
106,590400,3392,0.016361790025559236,0.71875,0.71875,,,,,
107,598368,3424,0.012232908846296586,0.6875,0.6875,,,,,
108,603264,3456,0.018911615976989,0.71875,0.71875,,,,,
109,610464,3488,0.015256508029753145,0.625,0.625,,,,,
110,616896,3520,0.014563581376348202,0.65625,0.65625,,,,,
111,624096,3552,0.015322062258698251,0.625,0.625,,,,,
112,630016,3584,0.014929101552727671,0.78125,0.78125,,,,,
113,635424,3616,0.01895223922186561,0.6875,0.6875,0.01503797498265231,0.75,0.75,,
114,641600,3648,0.015577678215833814,0.6875,0.6875,,,,,
115,645984,3680,0.01819944078003785,0.75,0.75,,,,,
116,650624,3712,0.0186611493286387,0.75,0.75,,,,,
117,655008,3744,0.017408165782099146,0.84375,0.84375,,,,,
118,661440,3776,0.013742306396460839,0.71875,0.71875,,,,,
119,667616,3808,0.015732749458965453,0.6875,0.6875,,,,,
120,673792,3840,0.016044003150221992,0.71875,0.71875,,,,,
121,678176,3872,0.020993254507255393,0.59375,0.59375,0.019086309973777475,0.59375,0.59375,,
122,684096,3904,0.014232957581083752,0.75,0.75,,,,,
123,690528,3936,0.011691258772001127,0.875,0.875,,,,,
124,695680,3968,0.017025122134413623,0.625,0.625,,,,,
125,701600,4000,0.014821003933011136,0.78125,0.78125,,,,,
126,708544,4032,0.011509179122583282,0.75,0.75,,,,,
127,714720,4064,0.011573070146325725,0.78125,0.78125,,,,,
128,721152,4096,0.012108969936672861,0.78125,0.78125,,,,,
129,727840,4128,0.012581951203921367,0.8125,0.8125,0.017770796707724586,0.71875,0.71875,,
130,732224,4160,0.019305801193266265,0.75,0.75,,,,,
131,738144,4192,0.013343677580667557,0.75,0.75,,,,,
132,744320,4224,0.014323756240784255,0.71875,0.71875,,,,,
133,749216,4256,0.016640261662023387,0.75,0.75,,,,,
134,754880,4288,0.016068905565239804,0.625,0.625,,,,,
135,759520,4320,0.01985085598695694,0.6875,0.6875,,,,,
136,762880,4352,0.021700869510759627,0.75,0.75,,,,,
137,768544,4384,0.014540655718160933,0.71875,0.71875,0.01586064960417587,0.84375,0.84375,,
138,774464,4416,0.016660450627392145,0.65625,0.65625,,,,,
139,779104,4448,0.0188655943773923,0.6875,0.6875,,,,,
140,784256,4480,0.014676908068139491,0.8125,0.8125,,,,,
141,789408,4512,0.013901959701674873,0.78125,0.78125,,,,,
142,794304,4544,0.01945797615310864,0.65625,0.65625,,,,,
143,799200,4576,0.018504860658864405,0.71875,0.71875,,,,,
144,803328,4608,0.017876472330404458,0.75,0.75,,,,,
145,809760,4640,0.015253394209940423,0.75,0.75,0.012557735612788546,0.75,0.75,,
146,814912,4672,0.018173412998451592,0.65625,0.65625,,,,,
